numUe,FlowType,mean_throughput,std_throughput,mean_delay,std_delay,n,se_throughput,se_delay,policy
8,bulk,0.843598,,0.0530788,,1,0.0,0.0,SOP+LSTM (alloc-only)
8,sensor,0.148099,,0.536278,,1,0.0,0.0,SOP+LSTM (alloc-only)
8,video,1.32912,,1.02776,,1,0.0,0.0,SOP+LSTM (alloc-only)
10,bulk,1.05101,,0.0657379,,1,0.0,0.0,SOP+LSTM (alloc-only)
10,sensor,0.144551,,0.55777,,1,0.0,0.0,SOP+LSTM (alloc-only)
10,video,1.04149,,0.722524,,1,0.0,0.0,SOP+LSTM (alloc-only)
20,bulk,1.43243,,0.0524973,,1,0.0,0.0,SOP+LSTM (alloc-only)
20,sensor,0.0955114,,0.603189,,1,0.0,0.0,SOP+LSTM (alloc-only)
20,video,0.140721,,0.597288,,1,0.0,0.0,SOP+LSTM (alloc-only)
30,bulk,0.671501,,0.0602247,,1,0.0,0.0,SOP+LSTM (alloc-only)
30,sensor,0.0570067,,0.67158,,1,0.0,0.0,SOP+LSTM (alloc-only)
30,video,0.0436067,,0.326018,,1,0.0,0.0,SOP+LSTM (alloc-only)
8,bulk,1.50085,,0.0381175,,1,0.0,0.0,Always MEC
8,sensor,0.17779,,0.477547,,1,0.0,0.0,Always MEC
8,video,2.44975,,1.69358,,1,0.0,0.0,Always MEC
10,bulk,1.6484,,0.0496705,,1,0.0,0.0,Always MEC
10,sensor,0.165312,,0.515431,,1,0.0,0.0,Always MEC
10,video,1.96937,,1.27882,,1,0.0,0.0,Always MEC
20,bulk,2.02504,,0.0277566,,1,0.0,0.0,Always MEC
20,sensor,0.121514,,0.625513,,1,0.0,0.0,Always MEC
20,video,0.284758,,1.79662,,1,0.0,0.0,Always MEC
30,bulk,0.891465,,0.0320149,,1,0.0,0.0,Always MEC
30,sensor,0.0865442,,0.830891,,1,0.0,0.0,Always MEC
30,video,0.0932705,,0.868543,,1,0.0,0.0,Always MEC
8,bulk,0.552357,,0.0973038,,1,0.0,0.0,Always Remote
8,sensor,0.175967,,0.561164,,1,0.0,0.0,Always Remote
8,video,2.41122,,1.76161,,1,0.0,0.0,Always Remote
10,bulk,0.736113,,0.121251,,1,0.0,0.0,Always Remote
10,sensor,0.164573,,0.584674,,1,0.0,0.0,Always Remote
10,video,1.94575,,1.32925,,1,0.0,0.0,Always Remote
20,bulk,0.914677,,0.105956,,1,0.0,0.0,Always Remote
20,sensor,0.119945,,0.692545,,1,0.0,0.0,Always Remote
20,video,0.282121,,1.83409,,1,0.0,0.0,Always Remote
30,bulk,0.58847,,0.118556,,1,0.0,0.0,Always Remote
30,sensor,0.0856272,,0.891794,,1,0.0,0.0,Always Remote
30,video,0.0901703,,0.890753,,1,0.0,0.0,Always Remote
